Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
ABA,Approved,10,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aba,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Abba Modern,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abbamodern,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
ABC Sketches,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/abcsketches,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Academic and Recreational Enrichment for Children,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/arec,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Academic Cultural Enrichment Coaches,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ACECoaches,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
AcademyHealth at Berkeley,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/AcademyHealth,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
AccelerateHer@Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AccelerateHeratBerkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Accountability and Transparency at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/accountabilityandtransparency,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Acropoiesis,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/acropoiesis,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Active for Alzheimer's at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ActiveforAlzheimers,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Active Minds,Approved,2,1,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/activemindsatberkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
acts2fellowship,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acts2fellowship,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Adobe at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adobe,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Adoptee University,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AdopteeUniversity,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Adoptees United,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adopteesunited,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Adrenaline Rush Project at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adrenalinerushproject,"LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Adrenaline Slacklines at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adrenalineslacklines,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Adventist Christian Fellowship,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acf,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Adventist Student Movement,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adventiststudentmovement,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Adventurers Society at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/adventurerssociety,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Aerospace Initiative for Manufacturing,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/aerospaceinitiativeformanufacturing,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Aerospace SAE,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/asae,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Aesthetics at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/Aesthetics,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Affirm- Undergraduate Journal.,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/affirm,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Afghan Student Association,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/afghans,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Afghans For Peace,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/afghansforpeace,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
African American Student Leadership Team,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/africanamericanstudentleadershipteam,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
African Arts Society,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/africanartssociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
African Diaspora Studies Student Collective,Inprogress,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/africandiasporastudiesstudentcollective,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
African-American Law and Policy Report,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/bjalp,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
African-American Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/african-americanstudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
AFX Dance,Approved,8,5,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/afxdance,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Afya @ Berkeley,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/afyaberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Agape at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AgapeatBerkeley,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Ahlul Bayt Society of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ahlulbaytsociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Ahmadiyya Muslim Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/calamsa,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Aid to Farmworkers,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AidToFarmworkers,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
AidGrade at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/aidgrade,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
AIESEC at Berkeley Local Committee,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/aiesec,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Air Force ROTC,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/airforcerotcs85thcadetwing,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alary Language,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alarylanguage,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Albanian Association at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AAB,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Aletheia Collective,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/aletheia,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Alianza Latinx for Public Health Action,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AlianzaLatinxforPublicHealthAction,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Align: Undergraduate Society for Computational Biology,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/PendingSignatories,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alliance for Diversity in Science and Engineering Chapter at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Alliance_for_Diversity_in_Science_and_Engineering,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Alliance for Sustainable Economies,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ASE,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Alpha Beta Consulting,Not Started,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/alphabetaconsulting,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Alpha Beta Pledge Class of Spring 2011,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alphabetapledgeclassofspring2011,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Alpha Chi Sigma Professional Chemistry Fraternity,Approved,8,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alpha-chi-sigma,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Alpha Epsilon Delta, Pre-medical Honor Society",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alphaepsilondelta,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Alpha Epsilon Zeta Fraternity, Inc.",Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AEZ,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
"Alpha Kappa Delta, Chi Chapter, International Sociology Honor Society",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alphakappadelta,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alpha Kappa Psi,Approved,9,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alphakappapsi,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alpha Nu Sigma,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AlphaNuSigma,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alpha Phi Omega,Approved,11,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/calaphio,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Alpha Pi Mu,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alphapimu,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Alpha Rho Chi,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/calapx,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Altered States and the Brain,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ASAB,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Alternative Breaks,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alternativebreaks,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Alternative Breaks Publication Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alternativebreakspublicationgroup,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Alternative Breaks: Take It to the Streets,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/alternativebreakstakeittothestreets,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Alzheimer's Association at Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/alzheimersassociationatberkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Ambassadors of Christ COP PENSA at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ambassadorsofchrist,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Ambience,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ambience,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
American Advertising Federation,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americanadvertisingfederationimagical,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Chemical Society at Berkeley Student Chapter,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acsberkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
American Chinese Culture and Education Foundation/Youth Care Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/accaefycc,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
American Constitution Society at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/acs,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
American Diabetes Association @ Berkeley,Approved,1,1,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/ADA,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
American Enterprise Institute - Executive Council at Berkeley,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americanenterpriseinstitute,LEAD Center Category: Political & Advocacy - Advised by Millicent Morris Chaney
American Indian Graduate Student Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaamericanindiangraduatestudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
American Indian Science and Engineering Society,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/AISES,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
American Institute of Aeronautics and Astronautics,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/AIAA,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
American Institute of Architecture Students,Denied,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americaninstituteforarchitecturestudents,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Institute of Chemical Engineers,Approved,8,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americaninstituteofchemicalengineers,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
American Lung Association's Oakland Kicks Asthma,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/oaklandkicksasthmacalcorps,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
American Medical Student Association Berkeley's Survival Guide,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/americanmedicalstudentassociationsurvivalguide,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
American Medical Student Association--Berkeley Premedical Chapter,Approved,6,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americanmedicalstudentsassociation,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Medical Women's Association at Berkeley,Approved,11,7,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americanmedicalwomensassociation,LEAD Center Category: Cultural & Identity/Women Interest RSO - Advised by Alejandro Muro
American Nuclear Society,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americannuclearsociety,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
American Optometric Student Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/aosa,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Physician Scientist Association at Berkeley,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americanphysicianscientists,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Red Cross at Cal,Approved,6,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/arc,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
American Society for Biochemistry and Molecular Biology,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ASBMBatBerkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
American Society of Civil Engineers,Approved,6,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americansocietyofcivilengineers,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
American Society of Landscape Architects,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/americansocietyoflandscapearchitects,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Society of Mechanical Engineers,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/asme,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
American Studies Undergraduate Alliance,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ASUA,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
